------Początek: 2025-06-04 22:16:11------
Time: 22:16:12.083 | Thread: 10 | Pos: (252,65, 298,49) | Vel: (1,68, 4,44)
Time: 22:16:12.083 | Thread: 10 | Pos: (316,57, 372,84) | Vel: (4,83, 3,84)
Time: 22:16:12.083 | Thread: 10 | Pos: (222,14, 332,26) | Vel: (1,19, 3,59)
Time: 22:16:12.083 | Thread: 10 | Pos: (252,65, 298,49) | Vel: (1,68, 4,44)
Time: 22:16:12.083 | Thread: 10 | Pos: (316,57, 372,84) | Vel: (4,83, 3,84)
Time: 22:16:12.083 | Thread: 10 | Pos: (222,14, 332,26) | Vel: (1,19, 3,59)
Time: 22:16:12.083 | Thread: 10 | Pos: (252,65, 298,49) | Vel: (1,68, 4,44)
Time: 22:16:12.083 | Thread: 10 | Pos: (316,57, 372,84) | Vel: (4,83, 3,84)
Time: 22:16:12.083 | Thread: 10 | Pos: (222,14, 332,26) | Vel: (1,19, 3,59)
Time: 22:16:12.083 | Thread: 10 | Pos: (252,65, 298,49) | Vel: (1,68, 4,44)
Time: 22:16:12.083 | Thread: 10 | Pos: (316,57, 372,84) | Vel: (4,83, 3,84)
Time: 22:16:12.083 | Thread: 10 | Pos: (222,14, 332,26) | Vel: (1,19, 3,59)
Time: 22:16:12.184 | Thread: 10 | Pos: (262,89, 325,60) | Vel: (1,68, 4,44)
Time: 22:16:12.184 | Thread: 10 | Pos: (346,02, 368,33) | Vel: (4,83, -3,84)
Time: 22:16:12.184 | Thread: 10 | Pos: (229,41, 354,17) | Vel: (1,19, 3,59)
Time: 22:16:12.184 | Thread: 10 | Pos: (262,89, 325,60) | Vel: (1,68, 4,44)
Time: 22:16:12.184 | Thread: 10 | Pos: (346,02, 368,33) | Vel: (4,83, -3,84)
Time: 22:16:12.184 | Thread: 10 | Pos: (229,41, 354,17) | Vel: (1,19, 3,59)
Time: 22:16:12.184 | Thread: 10 | Pos: (262,89, 325,60) | Vel: (1,68, 4,44)
Time: 22:16:12.184 | Thread: 10 | Pos: (346,02, 368,33) | Vel: (4,83, -3,84)
Time: 22:16:12.184 | Thread: 10 | Pos: (229,41, 354,17) | Vel: (1,19, 3,59)
Time: 22:16:12.184 | Thread: 10 | Pos: (262,89, 325,60) | Vel: (1,68, 4,44)
Time: 22:16:12.184 | Thread: 10 | Pos: (346,02, 368,33) | Vel: (4,83, -3,84)
Time: 22:16:12.184 | Thread: 10 | Pos: (229,41, 354,17) | Vel: (1,19, 3,59)
Time: 22:16:12.184 | Thread: 10 | Pos: (262,89, 325,60) | Vel: (1,68, 4,44)
