------Początek: 2025-06-04 22:12:30------
Time: 22:12:30.800 | Pos: (262,79, 349,10) | Vel: (2,72, 4,49)
Time: 22:12:30.800 | Pos: (255,68, 225,78) | Vel: (0,24, 0,74)
Time: 22:12:30.800 | Pos: (281,58, 252,18) | Vel: (4,31, 1,34)
Time: 22:12:30.800 | Pos: (262,79, 349,10) | Vel: (2,72, 4,49)
Time: 22:12:30.800 | Pos: (255,68, 225,78) | Vel: (0,24, 0,74)
Time: 22:12:30.800 | Pos: (281,58, 252,18) | Vel: (4,31, 1,34)
Time: 22:12:30.800 | Pos: (262,79, 349,10) | Vel: (2,72, 4,49)
Time: 22:12:30.800 | Pos: (255,68, 225,78) | Vel: (0,24, 0,74)
Time: 22:12:30.800 | Pos: (281,58, 252,18) | Vel: (4,31, 1,34)
Time: 22:12:30.800 | Pos: (262,79, 349,10) | Vel: (2,72, 4,49)
Time: 22:12:30.800 | Pos: (255,68, 225,78) | Vel: (0,24, 0,74)
Time: 22:12:30.800 | Pos: (281,58, 252,18) | Vel: (4,31, 1,34)
Time: 22:12:30.800 | Pos: (262,79, 349,10) | Vel: (2,72, 4,49)
Time: 22:12:30.800 | Pos: (255,68, 225,78) | Vel: (0,24, 0,74)
Time: 22:12:30.800 | Pos: (281,58, 252,18) | Vel: (4,31, 1,34)
Time: 22:12:30.800 | Pos: (262,79, 349,10) | Vel: (2,72, 4,49)
Time: 22:12:30.800 | Pos: (255,68, 225,78) | Vel: (0,24, 0,74)
Time: 22:12:30.800 | Pos: (281,58, 252,18) | Vel: (4,31, 1,34)
Time: 22:12:30.800 | Pos: (262,79, 349,10) | Vel: (2,72, 4,49)
Time: 22:12:30.800 | Pos: (255,68, 225,78) | Vel: (0,24, 0,74)
Time: 22:12:30.800 | Pos: (281,58, 252,18) | Vel: (4,31, 1,34)
Time: 22:12:30.801 | Pos: (262,79, 349,10) | Vel: (2,72, 4,49)
Time: 22:12:30.801 | Pos: (255,68, 225,78) | Vel: (0,24, 0,74)
Time: 22:12:30.902 | Pos: (307,89, 260,35) | Vel: (4,31, 1,34)
Time: 22:12:30.902 | Pos: (279,40, 376,49) | Vel: (2,72, 4,49)
Time: 22:12:30.902 | Pos: (257,15, 230,29) | Vel: (0,24, 0,74)
Time: 22:12:30.902 | Pos: (307,89, 260,35) | Vel: (4,31, 1,34)
Time: 22:12:30.902 | Pos: (279,40, 376,49) | Vel: (2,72, 4,49)
Time: 22:12:30.902 | Pos: (257,15, 230,29) | Vel: (0,24, 0,74)
Time: 22:12:30.902 | Pos: (307,89, 260,35) | Vel: (4,31, 1,34)
Time: 22:12:30.902 | Pos: (279,40, 376,49) | Vel: (2,72, 4,49)
Time: 22:12:30.902 | Pos: (257,15, 230,29) | Vel: (0,24, 0,74)
Time: 22:12:30.902 | Pos: (307,89, 260,35) | Vel: (4,31, 1,34)
Time: 22:12:30.902 | Pos: (279,40, 376,49) | Vel: (2,72, 4,49)
Time: 22:12:30.902 | Pos: (257,15, 230,29) | Vel: (0,24, 0,74)
Time: 22:12:30.902 | Pos: (307,89, 260,35) | Vel: (4,31, 1,34)
Time: 22:12:30.902 | Pos: (279,40, 376,49) | Vel: (2,72, 4,49)
Time: 22:12:30.902 | Pos: (257,15, 230,29) | Vel: (0,24, 0,74)
Time: 22:12:30.902 | Pos: (307,89, 260,35) | Vel: (4,31, 1,34)
Time: 22:12:30.902 | Pos: (279,40, 376,49) | Vel: (2,72, 4,49)
Time: 22:12:30.902 | Pos: (257,15, 230,29) | Vel: (0,24, 0,74)
Time: 22:12:30.902 | Pos: (307,89, 260,35) | Vel: (4,31, 1,34)
Time: 22:12:30.902 | Pos: (279,40, 376,49) | Vel: (2,72, 4,49)
Time: 22:12:30.902 | Pos: (257,15, 230,29) | Vel: (0,24, 0,74)
Time: 22:12:30.902 | Pos: (307,89, 260,35) | Vel: (4,31, 1,34)
Time: 22:12:30.902 | Pos: (279,40, 376,49) | Vel: (2,72, 4,49)
Time: 22:12:30.902 | Pos: (257,15, 230,29) | Vel: (0,24, 0,74)
Time: 22:12:30.902 | Pos: (307,89, 260,35) | Vel: (4,31, 1,34)
Time: 22:12:30.902 | Pos: (279,40, 376,49) | Vel: (2,72, 4,49)
Time: 22:12:30.902 | Pos: (257,15, 230,29) | Vel: (0,24, 0,74)
Time: 22:12:30.902 | Pos: (307,89, 260,35) | Vel: (4,31, 1,34)
Time: 22:12:30.902 | Pos: (279,40, 376,49) | Vel: (2,72, 4,49)
Time: 22:12:30.902 | Pos: (257,15, 230,29) | Vel: (0,24, 0,74)
Time: 22:12:31.002 | Pos: (334,20, 268,53) | Vel: (4,31, 1,34)
Time: 22:12:31.002 | Pos: (296,01, 361,78) | Vel: (2,72, -4,49)
Time: 22:12:31.002 | Pos: (258,62, 234,80) | Vel: (0,24, 0,74)
Time: 22:12:31.002 | Pos: (334,20, 268,53) | Vel: (4,31, 1,34)
Time: 22:12:31.002 | Pos: (296,01, 361,78) | Vel: (2,72, -4,49)
Time: 22:12:31.002 | Pos: (258,62, 234,80) | Vel: (0,24, 0,74)
Time: 22:12:31.002 | Pos: (334,20, 268,53) | Vel: (4,31, 1,34)
Time: 22:12:31.002 | Pos: (296,01, 361,78) | Vel: (2,72, -4,49)
Time: 22:12:31.002 | Pos: (258,62, 234,80) | Vel: (0,24, 0,74)
Time: 22:12:31.002 | Pos: (334,20, 268,53) | Vel: (4,31, 1,34)
Time: 22:12:31.002 | Pos: (296,01, 361,78) | Vel: (2,72, -4,49)
Time: 22:12:31.002 | Pos: (258,62, 234,80) | Vel: (0,24, 0,74)
Time: 22:12:31.002 | Pos: (334,20, 268,53) | Vel: (4,31, 1,34)
Time: 22:12:31.002 | Pos: (296,01, 361,78) | Vel: (2,72, -4,49)
Time: 22:12:31.002 | Pos: (258,62, 234,80) | Vel: (0,24, 0,74)
Time: 22:12:31.002 | Pos: (334,20, 268,53) | Vel: (4,31, 1,34)
Time: 22:12:31.002 | Pos: (296,01, 361,78) | Vel: (2,72, -4,49)
Time: 22:12:31.002 | Pos: (258,62, 234,80) | Vel: (0,24, 0,74)
Time: 22:12:31.002 | Pos: (334,20, 268,53) | Vel: (4,31, 1,34)
Time: 22:12:31.002 | Pos: (296,01, 361,78) | Vel: (2,72, -4,49)
Time: 22:12:31.002 | Pos: (258,62, 234,80) | Vel: (0,24, 0,74)
Time: 22:12:31.002 | Pos: (334,20, 268,53) | Vel: (4,31, 1,34)
Time: 22:12:31.002 | Pos: (296,01, 361,78) | Vel: (2,72, -4,49)
Time: 22:12:31.002 | Pos: (258,62, 234,80) | Vel: (0,24, 0,74)
Time: 22:12:31.002 | Pos: (334,20, 268,53) | Vel: (4,31, 1,34)
Time: 22:12:31.002 | Pos: (296,01, 361,78) | Vel: (2,72, -4,49)
Time: 22:12:31.002 | Pos: (258,62, 234,80) | Vel: (0,24, 0,74)
Time: 22:12:31.002 | Pos: (334,20, 268,53) | Vel: (4,31, 1,34)
Time: 22:12:31.002 | Pos: (296,01, 361,78) | Vel: (2,72, -4,49)
Time: 22:12:31.002 | Pos: (258,62, 234,80) | Vel: (0,24, 0,74)
Time: 22:12:31.103 | Pos: (360,50, 276,70) | Vel: (4,31, 1,34)
Time: 22:12:31.103 | Pos: (312,63, 334,39) | Vel: (2,72, -4,49)
Time: 22:12:31.103 | Pos: (260,09, 239,31) | Vel: (0,24, 0,74)
Time: 22:12:31.103 | Pos: (360,50, 276,70) | Vel: (4,31, 1,34)
Time: 22:12:31.103 | Pos: (312,63, 334,39) | Vel: (2,72, -4,49)
Time: 22:12:31.103 | Pos: (260,09, 239,31) | Vel: (0,24, 0,74)
Time: 22:12:31.103 | Pos: (360,50, 276,70) | Vel: (4,31, 1,34)
Time: 22:12:31.103 | Pos: (312,63, 334,39) | Vel: (2,72, -4,49)
Time: 22:12:31.103 | Pos: (260,09, 239,31) | Vel: (0,24, 0,74)
Time: 22:12:31.103 | Pos: (360,50, 276,70) | Vel: (4,31, 1,34)
Time: 22:12:31.103 | Pos: (312,63, 334,39) | Vel: (2,72, -4,49)
Time: 22:12:31.103 | Pos: (260,09, 239,31) | Vel: (0,24, 0,74)
Time: 22:12:31.103 | Pos: (360,50, 276,70) | Vel: (4,31, 1,34)
Time: 22:12:31.103 | Pos: (312,63, 334,39) | Vel: (2,72, -4,49)
Time: 22:12:31.103 | Pos: (260,09, 239,31) | Vel: (0,24, 0,74)
Time: 22:12:31.103 | Pos: (360,50, 276,70) | Vel: (4,31, 1,34)
Time: 22:12:31.103 | Pos: (312,63, 334,39) | Vel: (2,72, -4,49)
Time: 22:12:31.103 | Pos: (260,09, 239,31) | Vel: (0,24, 0,74)
Time: 22:12:31.103 | Pos: (360,50, 276,70) | Vel: (4,31, 1,34)
Time: 22:12:31.103 | Pos: (312,63, 334,39) | Vel: (2,72, -4,49)
Time: 22:12:31.103 | Pos: (260,09, 239,31) | Vel: (0,24, 0,74)
Time: 22:12:31.103 | Pos: (360,50, 276,70) | Vel: (4,31, 1,34)
Time: 22:12:31.103 | Pos: (312,63, 334,39) | Vel: (2,72, -4,49)
Time: 22:12:31.103 | Pos: (260,09, 239,31) | Vel: (0,24, 0,74)
Time: 22:12:31.103 | Pos: (360,50, 276,70) | Vel: (4,31, 1,34)
Time: 22:12:31.103 | Pos: (312,63, 334,39) | Vel: (2,72, -4,49)
Time: 22:12:31.103 | Pos: (260,09, 239,31) | Vel: (0,24, 0,74)
Time: 22:12:31.103 | Pos: (360,50, 276,70) | Vel: (4,31, 1,34)
Time: 22:12:31.103 | Pos: (312,63, 334,39) | Vel: (2,72, -4,49)
Time: 22:12:31.103 | Pos: (260,09, 239,31) | Vel: (0,24, 0,74)
Time: 22:12:31.203 | Pos: (375,69, 284,88) | Vel: (-4,31, 1,34)
Time: 22:12:31.203 | Pos: (329,24, 307,00) | Vel: (2,72, -4,49)
Time: 22:12:31.204 | Pos: (261,56, 243,81) | Vel: (0,24, 0,74)
Time: 22:12:31.204 | Pos: (375,69, 284,88) | Vel: (-4,31, 1,34)
Time: 22:12:31.204 | Pos: (329,24, 307,00) | Vel: (2,72, -4,49)
Time: 22:12:31.204 | Pos: (261,56, 243,81) | Vel: (0,24, 0,74)
Time: 22:12:31.204 | Pos: (375,69, 284,88) | Vel: (-4,31, 1,34)
Time: 22:12:31.204 | Pos: (329,24, 307,00) | Vel: (2,72, -4,49)
Time: 22:12:31.204 | Pos: (261,56, 243,81) | Vel: (0,24, 0,74)
Time: 22:12:31.204 | Pos: (375,69, 284,88) | Vel: (-4,31, 1,34)
