Time: 14:17:49.134 | Pos: (232,88, 286,12) | Vel: (0,92, -4,60)
Time: 14:17:49.134 | Pos: (281,46, 375,98) | Vel: (-4,34, -2,81)
Time: 14:17:49.235 | Pos: (293,23, 230,62) | Vel: (0,95, 0,88)
Time: 14:17:49.235 | Pos: (243,62, 216,53) | Vel: (-2,89, -5,54)
Time: 14:17:49.235 | Pos: (241,17, 242,68) | Vel: (-0,52, 1,19)
Time: 14:17:49.235 | Pos: (233,70, 345,08) | Vel: (-4,34, -2,81)
Time: 14:17:49.235 | Pos: (293,23, 230,62) | Vel: (0,95, 0,88)
Time: 14:17:49.235 | Pos: (243,62, 216,53) | Vel: (-2,89, -5,54)
Time: 14:17:49.235 | Pos: (241,17, 242,68) | Vel: (-0,52, 1,19)
Time: 14:17:49.235 | Pos: (233,70, 345,08) | Vel: (-4,34, -2,81)
Time: 14:17:49.235 | Pos: (293,23, 230,62) | Vel: (0,95, 0,88)
Time: 14:17:49.235 | Pos: (243,62, 216,53) | Vel: (-2,89, -5,54)
Time: 14:17:49.235 | Pos: (241,17, 242,68) | Vel: (-0,52, 1,19)
Time: 14:17:49.235 | Pos: (233,70, 345,08) | Vel: (-4,34, -2,81)
Time: 14:17:49.235 | Pos: (293,23, 230,62) | Vel: (0,95, 0,88)
Time: 14:17:49.235 | Pos: (243,62, 216,53) | Vel: (-2,89, -5,54)
Time: 14:17:49.235 | Pos: (241,17, 242,68) | Vel: (-0,52, 1,19)
Time: 14:17:49.235 | Pos: (233,70, 345,08) | Vel: (-4,34, -2,81)
Time: 14:17:49.235 | Pos: (293,23, 230,62) | Vel: (0,95, 0,88)
Time: 14:17:49.235 | Pos: (243,62, 216,53) | Vel: (-2,89, -5,54)
Time: 14:17:49.235 | Pos: (241,17, 242,68) | Vel: (-0,52, 1,19)
Time: 14:17:49.235 | Pos: (233,70, 345,08) | Vel: (-4,34, -2,81)
Time: 14:17:49.336 | Pos: (303,67, 240,31) | Vel: (0,95, 0,88)
Time: 14:17:49.336 | Pos: (211,86, 155,55) | Vel: (-2,89, -5,54)
Time: 14:17:49.336 | Pos: (235,46, 255,75) | Vel: (-0,52, 1,19)
Time: 14:17:49.336 | Pos: (185,93, 314,17) | Vel: (-4,34, -2,81)
Time: 14:17:49.336 | Pos: (303,67, 240,31) | Vel: (0,95, 0,88)
Time: 14:17:49.336 | Pos: (211,86, 155,55) | Vel: (-2,89, -5,54)
Time: 14:17:49.336 | Pos: (235,46, 255,75) | Vel: (-0,52, 1,19)
Time: 14:17:49.336 | Pos: (185,93, 314,17) | Vel: (-4,34, -2,81)
Time: 14:17:49.336 | Pos: (303,67, 240,31) | Vel: (0,95, 0,88)
Time: 14:17:49.336 | Pos: (211,86, 155,55) | Vel: (-2,89, -5,54)
Time: 14:17:49.336 | Pos: (235,46, 255,75) | Vel: (-0,52, 1,19)
Time: 14:17:49.336 | Pos: (185,93, 314,17) | Vel: (-4,34, -2,81)
Time: 14:17:49.336 | Pos: (303,67, 240,31) | Vel: (0,95, 0,88)
Time: 14:17:49.336 | Pos: (211,86, 155,55) | Vel: (-2,89, -5,54)
Time: 14:17:49.336 | Pos: (235,46, 255,75) | Vel: (-0,52, 1,19)
Time: 14:17:49.336 | Pos: (185,93, 314,17) | Vel: (-4,34, -2,81)
Time: 14:17:49.336 | Pos: (303,67, 240,31) | Vel: (0,95, 0,88)
Time: 14:17:49.336 | Pos: (211,86, 155,55) | Vel: (-2,89, -5,54)
Time: 14:17:49.336 | Pos: (235,46, 255,75) | Vel: (-0,52, 1,19)
Time: 14:17:49.336 | Pos: (185,93, 314,17) | Vel: (-4,34, -2,81)
Time: 14:17:49.436 | Pos: (314,10, 250,00) | Vel: (0,95, 0,88)
Time: 14:17:49.436 | Pos: (180,11, 94,58) | Vel: (-2,89, -5,54)
Time: 14:17:49.436 | Pos: (229,75, 268,82) | Vel: (-0,52, 1,19)
Time: 14:17:49.436 | Pos: (138,16, 283,26) | Vel: (-4,34, -2,81)
Time: 14:17:49.436 | Pos: (314,10, 250,00) | Vel: (0,95, 0,88)
Time: 14:17:49.436 | Pos: (180,11, 94,58) | Vel: (-2,89, -5,54)
Time: 14:17:49.436 | Pos: (229,75, 268,82) | Vel: (-0,52, 1,19)
Time: 14:17:49.436 | Pos: (138,16, 283,26) | Vel: (-4,34, -2,81)
Time: 14:17:49.436 | Pos: (314,10, 250,00) | Vel: (0,95, 0,88)
Time: 14:17:49.436 | Pos: (180,11, 94,58) | Vel: (-2,89, -5,54)
Time: 14:17:49.436 | Pos: (229,75, 268,82) | Vel: (-0,52, 1,19)
Time: 14:17:49.436 | Pos: (138,16, 283,26) | Vel: (-4,34, -2,81)
Time: 14:17:49.436 | Pos: (314,10, 250,00) | Vel: (0,95, 0,88)
Time: 14:17:49.436 | Pos: (180,11, 94,58) | Vel: (-2,89, -5,54)
Time: 14:17:49.436 | Pos: (229,75, 268,82) | Vel: (-0,52, 1,19)
Time: 14:17:49.436 | Pos: (138,16, 283,26) | Vel: (-4,34, -2,81)
Time: 14:17:49.436 | Pos: (314,10, 250,00) | Vel: (0,95, 0,88)
Time: 14:17:49.436 | Pos: (180,11, 94,58) | Vel: (-2,89, -5,54)
